time_s,uav_id,cluster_id,payload_plaintext,encrypted_bytes,tek_version
545.0,10,1,UAV10|CLU1|T545.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,11,1,UAV11|CLU1|T545.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,12,1,UAV12|CLU1|T545.0|ALT140.0|SPD18.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,13,1,UAV13|CLU1|T545.0|ALT145.0|SPD18.5|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,14,1,UAV14|CLU1|T545.0|ALT150.0|SPD19.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,15,1,UAV15|CLU1|T545.0|ALT155.0|SPD19.5|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,16,2,UAV16|CLU2|T545.0|ALT160.0|SPD20.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,17,2,UAV17|CLU2|T545.0|ALT165.0|SPD20.5|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,18,2,UAV18|CLU2|T545.0|ALT170.0|SPD21.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,19,2,UAV19|CLU2|T545.0|ALT175.0|SPD21.5|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,20,2,UAV20|CLU2|T545.0|ALT180.0|SPD22.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,21,2,UAV21|CLU2|T545.0|ALT185.0|SPD22.5|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,22,2,UAV22|CLU2|T545.0|ALT190.0|SPD23.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,23,2,UAV23|CLU2|T545.0|ALT195.0|SPD23.5|STATUS:OK|CRT-GCRT-SECURED,105,59
575.0,0,0,UAV0|CLU0|T575.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,1,0,UAV1|CLU0|T575.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,2,0,UAV2|CLU0|T575.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,3,0,UAV3|CLU0|T575.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,4,0,UAV4|CLU0|T575.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,5,0,UAV5|CLU0|T575.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,6,0,UAV6|CLU0|T575.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,7,0,UAV7|CLU0|T575.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,8,1,UAV8|CLU1|T575.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,9,1,UAV9|CLU1|T575.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,10,1,UAV10|CLU1|T575.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,11,1,UAV11|CLU1|T575.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,12,1,UAV12|CLU1|T575.0|ALT140.0|SPD18.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,13,1,UAV13|CLU1|T575.0|ALT145.0|SPD18.5|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,14,1,UAV14|CLU1|T575.0|ALT150.0|SPD19.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,15,1,UAV15|CLU1|T575.0|ALT155.0|SPD19.5|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,16,2,UAV16|CLU2|T575.0|ALT160.0|SPD20.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,17,2,UAV17|CLU2|T575.0|ALT165.0|SPD20.5|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,18,2,UAV18|CLU2|T575.0|ALT170.0|SPD21.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,19,2,UAV19|CLU2|T575.0|ALT175.0|SPD21.5|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,20,2,UAV20|CLU2|T575.0|ALT180.0|SPD22.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,21,2,UAV21|CLU2|T575.0|ALT185.0|SPD22.5|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,22,2,UAV22|CLU2|T575.0|ALT190.0|SPD23.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,23,2,UAV23|CLU2|T575.0|ALT195.0|SPD23.5|STATUS:OK|CRT-GCRT-SECURED,105,61
